pdate,dataset_role,operations,delinquent_operations,delinquency_rate,avg_loan_amount_30d,avg_loans_30d
2016-07-11,EMBARGO,3020,486.0,0.1609271523178808,20.81523178807947,3.2801324503311258
2016-07-12,EMBARGO,2962,530.0,0.17893315327481432,21.00810263335584,3.3068872383524646
2016-07-13,OOT,2953,576.0,0.1950558753809685,20.52353538774128,3.1882831019302404
2016-07-14,OOT,2920,602.0,0.20616438356164385,20.837671232876712,3.2215753424657536
2016-07-15,OOT,2908,570.0,0.19601100412654746,20.537826685006877,3.1633425034387894
2016-07-16,OOT,2839,557.0,0.19619584360690384,20.504402958788305,3.1412469179288482
2016-07-17,OOT,2873,607.0,0.211277410372433,20.10511660285416,3.0449008005569094
2016-07-18,OOT,2926,610.0,0.20847573479152426,19.681476418318525,3.028024606971975
2016-07-19,OOT,2892,611.0,0.21127247579529737,20.79875518672199,3.1324343015214384
2016-07-20,OOT,2842,639.0,0.22484166080225193,20.68332160450387,3.1400422237860663
2016-07-21,OOT,2750,531.0,0.1930909090909091,20.517818181818182,3.109090909090909
2016-07-22,OOT,2847,621.0,0.21812434141201265,20.80295047418335,3.1015103617843343
2016-07-23,OOT,2852,605.0,0.21213183730715288,21.523842917251052,3.1991584852734922
2016-07-24,SCORING,2318,0.0,,23.86281276962899,3.532355478861087
2016-07-25,SCORING,2313,0.0,,24.072632944228275,3.5023778642455685
2016-07-26,SCORING,2273,0.0,,24.868455785305763,3.620325560932688
2016-07-27,SCORING,2284,0.0,,23.818739054290717,3.448336252189142
2016-07-28,SCORING,2233,0.0,,23.790416480071652,3.4491715181370353
2016-07-29,SCORING,2245,0.0,,24.253897550111358,3.511804008908686
2016-07-30,SCORING,2307,0.0,,23.011703511053316,3.3003901170351106
2016-07-31,SCORING,2178,0.0,,17.134986225895318,2.4674012855831036
2016-08-01,SCORING,2335,0.0,,23.820128479657388,3.4406852248394006
2016-08-02,SCORING,2352,0.0,,23.81122448979592,3.4056122448979593
2016-08-03,SCORING,2213,0.0,,24.764572977858112,3.5042928151830095
2016-08-04,SCORING,2445,0.0,,25.98036809815951,3.547239263803681
2016-08-05,SCORING,2298,0.0,,16.997389033942557,2.3912097476066143
2016-08-06,SCORING,2358,0.0,,16.83715012722646,2.359626802374894
2016-08-07,SCORING,2408,0.0,,16.27574750830565,2.2956810631229234
2016-08-08,SCORING,2428,0.0,,25.70510708401977,3.425864909390445
2016-08-09,SCORING,2191,0.0,,15.494294842537654,2.151528982199909
2016-08-10,SCORING,2178,0.0,,22.14876033057851,3.0013774104683195
2016-08-11,SCORING,2157,0.0,,22.73435326842837,3.0120537783959205
2016-08-12,SCORING,2130,0.0,,22.92676056338028,3.0305164319248825
2016-08-13,SCORING,2119,0.0,,23.682869277961302,3.1812175554506843
2016-08-14,SCORING,1951,0.0,,23.274218349564325,3.079958995386981
2016-08-15,SCORING,1879,0.0,,24.552421500798296,3.194784459819053
2016-08-16,SCORING,1893,0.0,,24.015847860538827,3.1595351294241945
2016-08-17,SCORING,1688,0.0,,8.182464454976303,1.018957345971564
2016-08-18,SCORING,1407,0.0,,8.498933901918976,1.0867093105899075
2016-08-19,SCORING,1132,0.0,,9.265017667844523,1.2120141342756183
2016-08-20,SCORING,788,0.0,,10.6751269035533,1.3616751269035532
2016-08-21,SCORING,324,0.0,,12.296296296296296,1.5740740740740742
